,Date,Evaporation (mm),Sunshine (hours),9am Temperature (C),9am relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
0,1/02/2021,0.451219512195122,0.11678832116788324,0.516728624535316,0.6712328767123288,0.35135135135135137,0.44743935309972827,4672.764375000001
1,2/02/2021,0.1829268292682927,0.24817518248175185,0.5092936802973977,0.3972602739726027,0.5405405405405406,0.5929919137466264,4421.937083333333
2,3/02/2021,0.3292682926829269,0.9562043795620438,0.5018587360594795,0.5342465753424657,0.1891891891891892,0.42587601078167125,4422.983541666666
3,4/02/2021,0.4024390243902439,0.29927007299270075,0.5315985130111525,0.6164383561643836,0.7567567567567568,0.19946091644204955,4956.165000000002
4,5/02/2021,0.475609756097561,0.6496350364963505,0.7843866171003718,0.4794520547945205,0.6486486486486487,0.059299191374662996,5018.571875
5,8/02/2021,0.24390243902439027,0.12408759124087593,0.4795539033457249,0.43835616438356156,0.4594594594594595,0.6010781671159009,4342.011041666667
6,10/02/2021,0.451219512195122,0.8467153284671534,0.5278810408921932,0.6849315068493151,0.40540540540540543,0.40970350404312583,5198.151666666668
7,11/02/2021,0.48780487804878053,0.4014598540145986,0.79182156133829,0.4246575342465753,0.5945945945945946,0.24797843665768227,5621.671041666666
8,12/02/2021,0.7439024390243902,0.40875912408759124,0.5390334572490706,0.547945205479452,0.24324324324324326,0.2695417789757393,4752.275000000001
9,13/02/2021,0.3658536585365854,0.3576642335766424,0.5278810408921932,0.5616438356164384,0.40540540540540543,0.5256064690026925,4048.62875
10,14/02/2021,0.24390243902439027,0.5912408759124088,0.550185873605948,0.3972602739726027,0.5135135135135136,0.6469002695417743,3876.2691666666674
11,15/02/2021,0.34146341463414637,0.6715328467153285,0.5204460966542751,0.6301369863013699,0.2972972972972973,0.6549865229110488,4462.179791666668
12,17/02/2021,0.451219512195122,0.8686131386861315,0.6356877323420075,0.6301369863013699,0.1891891891891892,0.67385444743935,5389.209999999998
13,19/02/2021,0.48780487804878053,0.905109489051095,0.7955390334572491,0.2328767123287671,0.5945945945945946,0.48787061994609005,5734.008749999998
14,20/02/2021,0.8292682926829269,0.4306569343065694,0.7137546468401487,0.6849315068493151,0.2972972972972973,0.4339622641509422,5051.690416666666
15,21/02/2021,0.3658536585365854,0.0,0.5613382899628253,0.821917808219178,0.35135135135135137,0.4123989218328852,4410.144791666665
16,22/02/2021,0.17073170731707318,0.4598540145985402,0.550185873605948,0.6027397260273972,0.4594594594594595,0.4636118598382737,4399.628125
17,23/02/2021,0.4390243902439025,0.6204379562043796,0.4981412639405204,0.30136986301369867,0.4594594594594595,0.6495956873315336,4373.738541666668
18,24/02/2021,0.30487804878048785,0.7226277372262775,0.4572490706319703,0.38356164383561636,0.5135135135135136,0.606469002695416,4524.771458333334
19,26/02/2021,0.426829268292683,0.4598540145985402,0.43494423791821557,0.5068493150684932,0.4594594594594595,0.5067385444743913,4490.582916666665
20,27/02/2021,0.3658536585365854,0.07299270072992702,0.39033457249070636,0.6027397260273972,0.24324324324324326,0.4716981132075446,4310.460833333334
21,28/02/2021,0.14634146341463417,0.6715328467153285,0.40892193308550184,0.6849315068493151,0.24324324324324326,0.39622641509433976,4061.615208333333
22,1/03/2021,0.39024390243902446,0.4598540145985402,0.5055762081784387,0.6164383561643836,0.40540540540540543,0.45552560646900275,4485.196875000001
23,3/03/2021,0.26829268292682934,0.15328467153284675,0.45353159851301117,0.4794520547945205,0.35135135135135137,0.6603773584905639,4698.976458333332
24,4/03/2021,0.24390243902439027,0.18978102189781024,0.4572490706319703,0.4520547945205479,0.1891891891891892,0.5390835579514786,4692.825625
25,5/03/2021,0.26829268292682934,0.26277372262773724,0.4758364312267658,0.38356164383561636,0.5405405405405406,0.5498652291105124,4540.915416666666
26,6/03/2021,0.34146341463414637,0.7299270072992702,0.45353159851301117,0.4109589041095891,0.4594594594594595,0.5067385444743913,3921.035833333335
27,7/03/2021,0.3658536585365854,0.5766423357664234,0.3977695167286245,0.7534246575342467,0.1891891891891892,0.34770889487870704,4129.282500000002
28,8/03/2021,0.3658536585365854,0.0,0.5353159851301115,0.8356164383561644,0.10810810810810811,0.4043126684636107,4472.384375000001
29,9/03/2021,0.012195121951219514,0.5036496350364964,0.4163568773234201,0.904109589041096,0.40540540540540543,0.6118598382749312,4657.092291666668
30,10/03/2021,0.41463414634146345,0.5255474452554745,0.46468401486988853,0.7397260273972603,0.2972972972972973,0.652291105121293,4634.328333333334
31,11/03/2021,0.30487804878048785,0.33576642335766427,0.44609665427509293,0.8082191780821917,0.24324324324324326,0.5633423180592985,4893.706666666666
32,13/03/2021,0.5853658536585367,0.021897810218978103,0.7992565055762082,0.3424657534246575,0.16216216216216217,0.4070080862533665,4447.935208333335
33,17/03/2021,0.17073170731707318,0.7226277372262775,0.49070631970260226,0.8082191780821917,0.24324324324324326,0.7385444743935281,4758.3360416666665
34,19/03/2021,0.3170731707317074,0.44525547445255476,0.48698884758364314,0.8356164383561644,0.2972972972972973,0.8059299191374656,4710.929583333333
35,20/03/2021,0.3292682926829269,0.38686131386861317,0.5092936802973977,0.8630136986301371,0.35135135135135137,0.7816711590296457,4157.6518750000005
36,21/03/2021,0.1829268292682927,0.0,0.591078066914498,0.9452054794520548,0.0,0.665768194070079,4270.05125
37,23/03/2021,0.03658536585365854,0.043795620437956206,0.550185873605948,1.0,0.2972972972972973,0.1940700808625344,4938.427708333333
38,24/03/2021,0.13414634146341467,0.12408759124087593,0.5390334572490706,1.0,0.4594594594594595,0.11859838274932599,4786.264375
