,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h),9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
39,21/03/2021,16.7,21.7,1.2,3.0,0.0,17.0,18.9,96.0,8.0,2,1022.6,21.5,86,8.0,Calm,1020.0,4270.05125
40,22/03/2021,17.5,24.2,5.6,2.6,1.8,31.0,18.9,94.0,7.0,6,1018.8,21.6,72,7.0,13,1016.1,4766.398958333332
41,23/03/2021,17.6,22.0,13.8,0.6,0.6,30.0,17.8,100.0,7.0,4,1007.6,21.0,78,7.0,11,1002.5,4938.427708333333
42,24/03/2021,17.0,20.3,0.6,2.2,1.7,33.0,17.5,100.0,7.0,4,999.9,19.3,85,7.0,17,999.7,4786.264375
43,25/03/2021,15.5,21.1,4.6,2.8,3.1,31.0,15.7,87.0,7.0,9,1005.3,19.8,52,7.0,13,1006.4,4628.0841666666665
44,27/03/2021,13.2,21.3,3.4,3.8,4.1,31.0,14.9,88.0,7.0,7,1010.8,19.9,44,2.0,7,1010.6,4149.286041666665
45,28/03/2021,12.4,20.2,0.0,4.4,3.9,24.0,14.2,76.0,6.0,7,1018.8,18.3,55,7.0,9,1018.6,4097.158541666667
46,31/03/2021,11.4,22.8,0.0,3.2,8.9,19.0,15.3,77.0,7.0,Calm,1026.6,21.0,58,1.0,7,1023.7,4737.455625
47,1/04/2021,12.4,29.9,0.0,4.4,10.8,20.0,14.4,86.0,1.0,9,1024.3,28.7,30,3.0,7,1021.6,4792.790208333335
48,2/04/2021,13.5,30.6,0.0,6.6,10.8,15.0,15.1,75.0,2.0,9,1026.2,29.3,28,0.0,9,1023.1,4219.733333333333
49,3/04/2021,15.1,31.6,0.0,4.4,10.9,37.0,21.9,55.0,0.0,17,1022.3,30.5,32,0.0,19,1018.3,4253.338125
50,4/04/2021,15.2,24.5,0.0,8.6,10.1,35.0,22.9,50.0,0.0,11,1018.5,20.0,72,1.0,15,1018.0,4055.0793750000007
51,5/04/2021,16.0,19.0,0.0,5.8,8.1,30.0,16.9,58.0,7.0,9,1022.7,18.1,58,3.0,17,1021.5,3984.830208333333
52,6/04/2021,12.8,20.2,0.0,4.0,4.4,26.0,16.2,64.0,7.0,9,1023.7,19.6,59,6.0,11,1021.5,4475.690208333333
53,7/04/2021,14.9,23.0,0.0,3.2,4.9,20.0,15.8,82.0,8.0,Calm,1020.2,21.6,61,1.0,9,1015.8,4731.804375000001
54,8/04/2021,15.4,29.3,0.0,4.6,4.9,43.0,20.5,73.0,1.0,9,1011.0,28.9,25,7.0,17,1005.0,4786.667083333333
55,10/04/2021,12.9,18.3,0.2,2.8,3.9,54.0,14.1,71.0,6.0,11,1007.9,15.4,53,7.0,17,1008.0,4229.779375000001
56,11/04/2021,8.1,14.5,3.4,5.2,6.1,56.0,9.8,75.0,4.0,11,1014.8,14.1,56,5.0,19,1016.9,4391.986458333333
57,12/04/2021,9.7,16.8,10.0,3.2,3.9,28.0,11.7,95.0,6.0,6,1023.7,16.0,65,6.0,11,1021.8,5115.952708333334
58,13/04/2021,7.8,20.0,0.6,0.0,2.5,59.0,11.5,81.0,7.0,9,1018.8,18.5,46,7.0,28,1011.6,4929.874583333333
