,Date,Minimum temperature (C),Evaporation (mm),9am relative humidity (%),9am cloud amount (oktas),3pm relative humidity (%),3pm wind speed (km/h),avg_demand
0,1/02/2021,0.8816568047337279,0.013986013986013984,0.7971014492753623,0.875,0.5949367088607596,0.31249999999999994,7839.838333333332
1,2/02/2021,0.6923076923076923,0.2657342657342657,0.8115942028985508,0.875,0.49367088607594933,0.4583333333333333,7393.213749999999
2,3/02/2021,0.6923076923076923,0.2727272727272727,0.5942028985507246,0.125,0.44303797468354433,0.31249999999999994,7237.238750000001
3,4/02/2021,0.7159763313609468,0.23776223776223773,0.8260869565217392,0.75,0.5189873417721519,0.5833333333333334,7831.148541666666
4,5/02/2021,0.8875739644970415,0.2937062937062937,0.7681159420289856,0.25,0.6329113924050633,0.6458333333333334,8198.975833333332
5,6/02/2021,0.9230769230769231,0.31468531468531463,0.7536231884057971,1.0,0.9367088607594937,0.22916666666666666,7417.680208333338
6,7/02/2021,0.804733727810651,0.11888111888111887,0.8260869565217392,0.25,0.49367088607594933,0.41666666666666663,6954.139583333333
7,9/02/2021,0.7869822485207103,0.1888111888111888,0.46376811594202905,0.875,0.4683544303797469,0.37499999999999994,7407.967291666668
8,11/02/2021,0.7100591715976332,0.3216783216783216,0.6521739130434783,0.125,0.4177215189873418,0.5416666666666666,7565.787916666667
9,12/02/2021,0.7751479289940828,0.3846153846153846,0.5797101449275361,1.0,0.35443037974683544,0.41666666666666663,8061.384791666666
10,13/02/2021,0.8520710059171599,0.2587412587412587,0.9855072463768115,1.0,0.9113924050632912,0.49999999999999994,7241.781041666665
11,14/02/2021,0.650887573964497,0.06993006993006992,0.8840579710144927,0.375,0.4810126582278481,0.41666666666666663,6457.113541666667
12,15/02/2021,0.7573964497041421,0.2797202797202797,0.46376811594202905,0.875,0.5189873417721519,0.7291666666666666,7124.523125000002
13,16/02/2021,0.7810650887573964,0.1818181818181818,0.8260869565217392,0.875,0.5569620253164557,0.41666666666666663,7380.897291666667
14,17/02/2021,0.7692307692307694,0.2727272727272727,0.6231884057971016,0.875,0.5443037974683544,0.6458333333333334,7350.403124999998
15,19/02/2021,0.863905325443787,0.22377622377622375,0.7391304347826086,0.75,0.5949367088607596,0.2708333333333333,7831.220833333333
16,20/02/2021,0.8520710059171599,0.21678321678321677,0.9710144927536233,0.875,0.6455696202531646,0.22916666666666666,7494.003541666668
17,21/02/2021,0.9230769230769231,0.1888111888111888,0.8695652173913044,0.75,0.5443037974683544,0.35416666666666663,7510.852916666668
18,22/02/2021,0.8461538461538463,0.19580419580419578,0.8695652173913044,0.125,0.5316455696202532,0.5416666666666666,8117.609999999998
19,23/02/2021,0.8284023668639056,0.2937062937062937,0.5217391304347826,0.875,0.49367088607594933,0.49999999999999994,7537.720416666667
20,27/02/2021,0.8461538461538463,0.2657342657342657,0.855072463768116,1.0,0.8734177215189874,0.22916666666666666,7182.225208333336
21,28/02/2021,0.8284023668639056,0.09790209790209789,0.8260869565217392,0.75,0.5189873417721519,0.35416666666666663,7099.947499999999
22,1/03/2021,0.8284023668639056,0.22377622377622375,0.9275362318840581,0.875,0.6075949367088608,0.41666666666666663,8533.461666666668
23,2/03/2021,0.8461538461538463,0.28671328671328666,0.681159420289855,0.625,0.45569620253164556,0.49999999999999994,7487.192708333333
24,3/03/2021,0.7278106508875741,0.2657342657342657,0.5507246376811594,1.0,0.4810126582278481,0.37499999999999994,7286.490208333332
25,4/03/2021,0.6035502958579881,0.23776223776223773,0.7246376811594204,0.125,0.44303797468354433,0.41666666666666663,7274.426666666667
26,5/03/2021,0.7100591715976332,0.2797202797202797,0.6376811594202898,0.125,0.3924050632911392,0.6041666666666666,7167.193958333333
27,6/03/2021,0.7159763313609468,0.2937062937062937,0.34782608695652173,0.875,0.3417721518987342,0.31249999999999994,6610.969583333334
28,7/03/2021,0.6094674556213018,0.24475524475524474,0.6376811594202898,0.5,0.4810126582278481,0.4583333333333333,6540.380208333335
29,8/03/2021,0.7218934911242605,0.2657342657342657,0.8115942028985508,0.875,0.44303797468354433,0.1875,7707.994999999999
30,9/03/2021,0.8165680473372783,0.21678321678321677,0.681159420289855,0.875,0.5316455696202532,0.4583333333333333,7651.438125000001
31,11/03/2021,0.8402366863905326,0.14685314685314685,0.8695652173913044,0.875,0.6075949367088608,0.4583333333333333,7843.896875000003
32,12/03/2021,0.9230769230769231,0.2727272727272727,0.7536231884057971,0.875,0.6708860759493671,0.31249999999999994,7846.689375000002
33,13/03/2021,0.863905325443787,0.020979020979020976,0.9855072463768115,0.375,0.6708860759493671,0.1875,7625.361249999999
34,14/03/2021,0.7988165680473374,0.3496503496503496,0.9710144927536233,1.0,0.8607594936708861,0.5416666666666666,7074.620416666668
35,15/03/2021,0.378698224852071,0.13986013986013984,0.7826086956521738,0.125,0.45569620253164556,0.37499999999999994,6940.243333333335
36,17/03/2021,0.668639053254438,0.0839160839160839,0.6666666666666667,0.875,0.6329113924050633,0.6458333333333334,7430.172916666667
37,18/03/2021,0.7218934911242605,0.21678321678321677,0.681159420289855,1.0,0.9746835443037974,0.22916666666666666,7703.078750000001
38,19/03/2021,0.6804733727810652,0.11888111888111887,0.681159420289855,1.0,0.6582278481012659,0.5416666666666666,7473.735208333332
39,20/03/2021,0.7396449704142014,0.09790209790209789,1.0,1.0,1.0,0.6041666666666666,7212.509791666665
40,21/03/2021,0.7810650887573964,0.20475524475524473,0.9130434782608696,1.0,0.8481012658227848,0.41666666666666663,7126.95
41,22/03/2021,0.7218934911242605,0.1608391608391608,0.9855072463768115,1.0,0.9873417721518988,0.31249999999999994,7730.009166666668
42,23/03/2021,0.6745562130177516,0.013986013986013984,1.0,1.0,1.0,0.4583333333333333,7830.55875
43,25/03/2021,0.668639053254438,0.23076923076923073,0.681159420289855,0.875,0.5189873417721519,0.22916666666666666,7232.385833333331
44,26/03/2021,0.5562130177514792,0.23076923076923073,0.7391304347826086,0.125,0.45569620253164556,0.35416666666666663,7015.648750000003
45,27/03/2021,0.63905325443787,0.1608391608391608,0.8840579710144927,0.125,0.15189873417721522,0.08333333333333334,6602.299583333334
46,28/03/2021,0.6449704142011834,0.23776223776223773,0.8115942028985508,0.125,0.4177215189873418,0.37499999999999994,6428.718124999999
47,29/03/2021,0.5857988165680472,0.20979020979020976,0.8405797101449275,0.125,0.44303797468354433,0.37499999999999994,7174.510416666668
48,30/03/2021,0.6153846153846154,0.2517482517482517,0.6231884057971016,0.875,0.35443037974683544,0.37499999999999994,7122.368958333335
49,31/03/2021,0.5088757396449703,0.21678321678321677,0.7681159420289856,0.875,0.3417721518987342,0.35416666666666663,7113.137291666669
50,2/04/2021,0.5976331360946745,0.09790209790209789,0.9710144927536233,0.375,0.49367088607594933,0.2708333333333333,6490.208333333333
51,6/04/2021,0.7928994082840237,0.11538461538461536,0.9420289855072463,0.25,0.7088607594936709,0.37499999999999994,7567.621875000002
52,7/04/2021,0.7573964497041421,0.15384615384615383,0.9710144927536233,0.625,0.7088607594936709,0.31249999999999994,7579.323958333334
53,8/04/2021,0.7455621301775148,0.11188811188811187,0.9855072463768115,0.25,0.5443037974683544,0.22916666666666666,7495.619999999999
54,9/04/2021,0.6745562130177516,0.1678321678321678,0.8115942028985508,0.25,0.379746835443038,0.041666666666666664,7336.792083333335
55,10/04/2021,0.6331360946745563,0.22377622377622375,0.6231884057971016,0.875,0.1645569620253165,0.49999999999999994,6608.749166666666
56,11/04/2021,0.455621301775148,0.20279720279720276,0.1594202898550725,0.125,0.12658227848101267,0.6041666666666666,6367.694791666669
57,12/04/2021,0.22485207100591714,0.23776223776223773,0.33333333333333337,0.125,0.189873417721519,0.14583333333333334,7172.522083333333
58,13/04/2021,0.2662721893491125,0.13986013986013984,0.5797101449275361,0.125,0.40506329113924056,0.37499999999999994,7244.021041666668
59,15/04/2021,0.6213017751479291,0.22377622377622375,0.2898550724637682,0.125,0.12658227848101267,0.041666666666666664,7171.652083333332
60,16/04/2021,0.5857988165680472,0.22377622377622375,0.2753623188405797,0.625,0.49367088607594933,0.4583333333333333,7303.76875
61,18/04/2021,0.3017751479289941,0.13986013986013984,0.7971014492753623,0.5,0.4683544303797469,0.1875,6694.444583333333
62,20/04/2021,0.31952662721893493,0.13986013986013984,0.5217391304347826,0.25,0.31645569620253167,0.1875,7364.601874999999
63,21/04/2021,0.4911242603550296,0.1818181818181818,0.33333333333333337,0.125,0.30379746835443044,0.41666666666666663,7404.424791666665
64,22/04/2021,0.2662721893491125,0.20979020979020976,0.46376811594202905,0.125,0.15189873417721522,0.31249999999999994,7595.551041666663
65,24/04/2021,0.2781065088757397,0.13986013986013984,0.5942028985507246,0.375,0.40506329113924056,0.2708333333333333,7000.101250000003
66,26/04/2021,0.3609467455621302,0.11888111888111887,0.7971014492753623,0.125,0.4683544303797469,0.1875,7381.283750000002
67,28/04/2021,0.4792899408284024,0.13986013986013984,0.8115942028985508,0.75,0.5316455696202532,0.22916666666666666,7507.583124999998
68,29/04/2021,0.4142011834319527,0.0909090909090909,0.855072463768116,0.0,0.5316455696202532,0.35416666666666663,7530.759791666667
69,30/04/2021,0.4260355029585799,0.12587412587412586,0.9130434782608696,0.75,0.5822784810126582,0.35416666666666663,7534.488958333332
70,1/05/2021,0.5029585798816569,0.11188811188811187,0.9565217391304348,0.25,0.6962025316455697,0.31249999999999994,6985.442083333334
71,2/05/2021,0.5325443786982249,0.013986013986013984,0.9710144927536233,0.875,0.6455696202531646,0.37499999999999994,6861.878333333331
72,3/05/2021,0.4733727810650888,0.13986013986013984,1.0,0.75,0.5443037974683544,0.22916666666666666,7401.447916666668
73,4/05/2021,0.5502958579881656,0.13986013986013984,0.7826086956521738,1.0,0.9240506329113923,0.14583333333333334,8070.974791666668
74,6/05/2021,0.5621301775147929,0.12587412587412586,0.9710144927536233,0.875,0.8860759493670886,0.31249999999999994,7881.227083333335
75,7/05/2021,0.7100591715976332,0.06293706293706293,0.9420289855072463,0.875,0.7088607594936709,0.41666666666666663,7618.825208333333
76,9/05/2021,0.6153846153846154,0.15384615384615383,0.5797101449275361,0.875,0.6455696202531646,0.041666666666666664,6990.896458333335
77,10/05/2021,0.46745562130177515,0.07692307692307691,0.8115942028985508,0.0,0.25316455696202533,0.37499999999999994,7446.081249999998
78,11/05/2021,0.5502958579881656,0.11188811188811187,0.7681159420289856,0.375,0.5063291139240507,0.41666666666666663,7805.091458333335
79,12/05/2021,0.4142011834319527,0.10489510489510488,0.7971014492753623,0.5,0.6075949367088608,0.2708333333333333,7726.873541666669
80,13/05/2021,0.4437869822485208,0.11888111888111887,0.8695652173913044,0.125,0.3670886075949368,0.08333333333333334,7619.355833333335
81,14/05/2021,0.43786982248520706,0.13986013986013984,0.2753623188405797,0.125,0.189873417721519,0.5416666666666666,7569.600208333334
82,15/05/2021,0.2781065088757397,0.1818181818181818,0.49275362318840576,0.625,0.21518987341772156,0.5416666666666666,7641.002916666665
83,16/05/2021,0.11834319526627218,0.1818181818181818,0.3913043478260869,0.125,0.07594936708860761,0.22916666666666666,7600.074791666666
84,18/05/2021,0.1715976331360946,0.13986013986013984,0.6231884057971016,0.125,0.31645569620253167,0.22916666666666666,8405.777916666668
85,19/05/2021,0.15976331360946744,0.11888111888111887,0.7246376811594204,0.0,0.5063291139240507,0.22916666666666666,8419.033958333335
86,20/05/2021,0.16568047337278108,0.09790209790209789,0.681159420289855,0.5,0.2405063291139241,0.2708333333333333,8316.318750000002
87,21/05/2021,0.2485207100591716,0.09790209790209789,0.7681159420289856,0.875,0.7594936708860759,0.10416666666666666,8676.293749999999
88,22/05/2021,0.18934911242603553,0.013986013986013984,0.8115942028985508,0.25,0.4683544303797469,0.1875,7739.874583333333
89,24/05/2021,0.3964497041420118,0.04195804195804195,1.0,0.5,0.8227848101265823,0.041666666666666664,8168.434583333331
90,25/05/2021,0.42011834319526636,0.1748251748251748,0.9855072463768115,0.625,0.4810126582278481,0.31249999999999994,7927.058958333332
91,26/05/2021,0.5088757396449703,0.013986013986013984,0.42028985507246375,0.125,0.1645569620253165,0.35416666666666663,7834.943541666665
92,27/05/2021,0.24260355029585806,0.21678321678321677,0.3913043478260869,0.0,0.25316455696202533,0.4583333333333333,8273.886458333334
93,28/05/2021,0.25443786982248523,0.13986013986013984,0.46376811594202905,0.125,0.15189873417721522,0.49999999999999994,8477.937083333334
94,29/05/2021,0.16568047337278108,0.20979020979020976,0.4347826086956522,0.625,0.430379746835443,0.4583333333333333,8404.982708333337
