,Date,Minimum temperature (C),Evaporation (mm),9am relative humidity (%),9am cloud amount (oktas),3pm relative humidity (%),3pm wind speed (km/h),avg_demand
89,24/05/2021,12.5,1.2,100,4.0,86,4,8168.434583333331
90,25/05/2021,12.9,5.0,99,5.0,59,17,7927.058958333332
91,26/05/2021,14.4,0.4,60,1.0,34,19,7834.943541666665
92,27/05/2021,9.9,6.2,58,0.0,41,24,8273.886458333334
93,28/05/2021,10.1,4.0,63,1.0,33,26,8477.937083333334
94,29/05/2021,8.6,6.0,61,5.0,55,24,8404.982708333337
95,30/05/2021,9.9,2.8,70,7.0,76,13,8090.639791666668
96,31/05/2021,9.6,2.4,71,1.0,52,11,8488.177083333334
97,1/06/2021,8.6,2.8,95,6.0,48,6,8728.148333333333
98,2/06/2021,9.4,1.8,88,3.0,61,11,8429.988333333336
99,3/06/2021,10.9,2.4,92,7.0,98,11,9283.459374999997
100,4/06/2021,10.5,1.4,95,2.0,56,28,8580.912291666666
101,5/06/2021,8.5,3.2,76,1.0,39,9,8162.490625000001
102,7/06/2021,7.9,3.2,84,6.0,62,13,8733.702500000001
103,8/06/2021,10.4,2.6,55,6.0,54,26,9130.73625
104,10/06/2021,6.7,4.0,81,7.0,86,11,10416.763333333334
105,11/06/2021,5.8,1.6,100,3.0,64,11,9647.869583333331
106,13/06/2021,8.1,4.2,71,1.0,45,19,8114.276041666668
107,14/06/2021,9.9,4.6,70,7.0,66,9,8256.042083333336
108,17/06/2021,9.5,2.0,70,1.0,41,28,8818.311458333332
109,19/06/2021,11.0,4.0,61,7.0,89,35,8739.004166666668
110,20/06/2021,11.5,1.3,85,6.0,87,20,8523.277708333333
111,21/06/2021,9.9,1.2,97,7.0,82,17,9151.469791666666
112,22/06/2021,9.4,2.2,94,7.0,68,4,9199.536666666663
113,23/06/2021,10.0,0.0,99,7.0,62,19,9060.739166666666
114,24/06/2021,12.0,3.6,74,7.0,57,24,8800.990208333335
115,25/06/2021,11.6,3.0,63,1.0,42,20,8429.629374999999
116,26/06/2021,9.2,4.8,67,1.0,43,24,8172.806041666666
117,27/06/2021,8.1,4.6,76,1.0,38,7,8132.71
118,29/06/2021,8.9,2.2,98,7.0,93,4,9172.130416666663
119,30/06/2021,11.1,2.0,100,7.0,88,7,8766.696875000001
120,2/07/2021,11.1,1.4,100,8.0,63,6,8502.706874999998
121,3/07/2021,8.5,1.8,91,1.0,56,11,8171.626666666664
122,4/07/2021,7.9,1.3,66,1.0,45,15,8178.329375000001
123,5/07/2021,6.7,3.6,75,1.0,42,13,8997.164166666671
124,6/07/2021,6.1,2.8,75,7.0,48,7,9591.492083333333
125,8/07/2021,6.3,0.6,94,4.0,65,13,9490.086666666668
126,9/07/2021,8.5,1.8,90,8.0,94,13,9911.211458333331
127,10/07/2021,9.9,2.0,86,7.0,87,19,8979.385833333336
128,11/07/2021,9.6,28.6,99,6.0,71,13,8315.970833333335
129,12/07/2021,8.2,2.2,98,7.0,65,13,8894.415833333334
130,13/07/2021,8.1,0.8,90,1.0,47,13,8866.735416666668
131,14/07/2021,10.2,3.2,67,7.0,87,6,9544.245416666668
132,15/07/2021,12.7,1.4,74,1.0,53,13,8385.180833333336
133,17/07/2021,11.9,6.6,60,3.0,44,39,8412.839791666667
134,18/07/2021,10.0,4.4,63,1.0,41,20,7864.075000000001
135,19/07/2021,6.8,4.6,77,2.0,52,17,9058.50895833333
136,20/07/2021,7.5,3.4,63,3.0,52,26,9320.106041666664
137,23/07/2021,8.2,3.0,76,7.0,73,11,9351.012916666665
138,25/07/2021,10.2,7.4,50,1.0,32,33,8165.268333333334
139,26/07/2021,9.5,2.2,64,1.0,40,30,8442.988125
140,27/07/2021,11.2,4.0,63,1.0,43,24,8113.392291666666
141,28/07/2021,12.8,6.4,46,5.0,30,33,8026.70083333333
142,29/07/2021,11.0,6.8,52,1.0,27,24,8142.052291666666
143,30/07/2021,5.9,3.4,69,4.672782874617737,52,11,8644.895208333337
144,1/08/2021,14.9,4.8,57,1.0,47,28,7336.019999999999
145,2/08/2021,8.1,3.2,74,1.0,54,9,8103.071458333333
146,3/08/2021,11.4,4.2,93,3.0,36,30,8077.181458333333
147,4/08/2021,9.3,7.6,53,1.0,37,35,8462.327291666668
148,5/08/2021,9.1,3.8,66,1.0,38,22,8231.32208333333
149,6/08/2021,9.0,3.0,68,1.0,35,7,8027.421249999999
150,7/08/2021,8.3,4.6,71,1.0,37,7,7706.977916666666
151,8/08/2021,9.9,2.6,95,7.0,86,9,8133.89875
152,10/08/2021,8.8,3.4,93,2.0,44,15,7847.382916666666
153,13/08/2021,8.3,6.0,60,0.0,41,17,7865.224791666665
154,14/08/2021,8.0,3.6,72,1.0,55,15,7436.054583333333
155,16/08/2021,10.1,5.4,51,0.0,27,13,7607.360000000001
156,17/08/2021,9.8,3.6,54,1.0,33,17,7839.474374999997
157,19/08/2021,8.1,4.0,78,7.0,64,17,7923.436041666665
158,21/08/2021,12.9,3.8,70,7.0,41,6,7093.962083333333
159,22/08/2021,11.1,3.8,74,1.0,40,20,6627.530416666669
160,23/08/2021,13.4,6.6,53,5.0,44,30,7268.616875
161,25/08/2021,7.9,5.856,59,6.0,51,31,8606.620833333332
162,26/08/2021,9.2,3.2,56,1.0,47,17,8087.284583333335
163,28/08/2021,10.6,3.8,57,7.0,61,15,7646.239791666667
164,29/08/2021,8.1,2.4,79,6.0,52,11,7749.174375
165,30/08/2021,8.6,1.4,69,3.0,48,15,7880.242708333332
166,1/09/2021,10.5,5.0,62,3.0,44,13,7221.518541666669
167,2/09/2021,13.5,3.4,87,7.0,68,30,7235.033333333333
168,3/09/2021,14.0,4.8,66,1.0,57,28,7012.088541666665
169,4/09/2021,15.4,7.6,63,8.0,70,15,7111.353749999999
170,5/09/2021,13.2,5.0,59,1.0,39,33,6946.370833333334
171,6/09/2021,9.4,4.8,55,1.0,35,33,7394.128958333335
172,7/09/2021,7.2,5.6,57,1.0,25,20,7347.467916666666
173,8/09/2021,9.6,5.0,63,1.0,58,17,7216.258124999999
174,9/09/2021,9.7,7.8,61,6.0,24,13,7034.917708333334
175,10/09/2021,14.9,6.4,34,5.0,70,19,6801.206666666665
176,11/09/2021,11.4,4.0,87,0.0,24,24,6325.425000000002
177,14/09/2021,9.7,7.2,75,5.0,91,20,7828.875625000001
178,17/09/2021,9.5,2.8,76,1.0,57,24,7055.388750000001
179,18/09/2021,15.7,8.8,48,7.0,78,6,6831.866458333335
180,19/09/2021,10.6,3.4,44,1.0,25,15,6263.905416666667
181,22/09/2021,8.1,5.8,56,1.0,52,17,7215.876041666666
182,24/09/2021,11.7,5.8,48,0.0,30,28,6744.323333333333
183,25/09/2021,13.6,9.2,31,1.0,64,37,6461.868750000001
184,26/09/2021,10.9,7.4,63,7.0,60,20,6945.917499999999
185,27/09/2021,9.7,4.4,74,7.0,53,20,7212.410625000003
186,28/09/2021,10.6,5.8,65,2.0,67,17,7037.642500000002
187,29/09/2021,14.1,5.8,63,6.0,93,11,7513.900000000001
188,30/09/2021,14.5,0.2,75,5.0,64,13,7081.635833333334
189,1/10/2021,14.8,5.2,81,8.0,66,24,6989.536423611116
190,2/10/2021,11.9,7.0,67,1.0,70,17,6510.421875000001
191,3/10/2021,12.9,4.6,100,1.0,41,17,6070.739409722219
192,4/10/2021,15.0,4.4,73,1.0,36,20,5984.094861111108
193,5/10/2021,12.8,9.8,49,2.0,24,31,6583.063923611112
194,6/10/2021,11.5,5.0,54,0.0,43,20,6621.811597222224
195,7/10/2021,12.7,7.6,39,6.0,21,22,6758.258090277776
196,9/10/2021,13.4,7.8,84,7.0,55,11,6262.165868055556
197,10/10/2021,16.2,7.6,66,7.0,86,35,6456.15197916667
198,11/10/2021,10.3,4.6,94,8.0,89,17,7459.192777777776
199,12/10/2021,10.9,2.2,66,7.0,57,22,7798.462951388886
200,13/10/2021,13.7,3.2,98,8.0,92,31,7625.622534722223
201,14/10/2021,14.4,3.8,82,7.0,77,24,7169.504062499992
202,16/10/2021,12.6,8.0,51,3.0,36,28,6286.52045138889
203,17/10/2021,12.5,6.0,52,1.0,51,19,5970.40868055556
204,18/10/2021,12.3,8.0,85,1.0,42,22,6657.162708333336
205,19/10/2021,14.3,7.8,65,3.0,68,30,6864.797013888889
206,21/10/2021,13.4,5.6,89,2.0,56,17,7009.500173611112
207,22/10/2021,15.3,6.4,87,3.0,63,17,6870.280555555553
208,23/10/2021,16.1,6.8,90,1.0,72,22,6518.656423611112
209,24/10/2021,16.5,6.2,76,6.0,54,26,6130.361909722222
210,25/10/2021,13.3,6.4,78,3.0,52,22,6717.404444444447
211,26/10/2021,12.7,10.0,65,2.0,51,22,6773.899166666669
212,28/10/2021,16.3,5.6,79,6.0,56,17,7295.91263888889
213,29/10/2021,20.1,7.2,42,7.0,31,50,7237.172500000001
214,30/10/2021,16.0,11.4,57,7.0,50,24,6308.541527777777
215,31/10/2021,11.8,8.6,63,3.0,47,20,6044.106805555559
216,1/11/2021,12.9,5.2,70,7.0,57,17,6831.621145833333
217,2/11/2021,16.4,6.6,72,3.0,56,30,6859.039444444448
218,3/11/2021,17.3,7.4,60,3.0,51,26,6827.766423611106
219,4/11/2021,18.2,10.0,73,8.0,86,11,7349.886736111114
220,5/11/2021,16.7,1.4,90,8.0,69,24,7184.492881944438
221,7/11/2021,17.9,7.6,89,8.0,84,7,6590.967986111109
222,8/11/2021,17.8,1.0,92,7.0,67,19,6988.417534722224
223,9/11/2021,17.1,6.8,83,7.0,68,15,6935.111319444447
224,10/11/2021,18.8,4.4,85,7.0,98,4,7456.538749999997
225,11/11/2021,17.5,1.2,86,8.0,83,19,7424.5028125
226,12/11/2021,13.0,5.2,99,8.0,73,17,7153.949236111112
227,13/11/2021,14.6,4.4,50,3.0,42,37,6520.800034722224
228,14/11/2021,13.3,10.2,47,7.0,32,35,6148.893888888885
229,15/11/2021,13.0,6.4,41,1.0,31,31,6608.644652777779
230,17/11/2021,13.5,8.0,63,5.0,55,19,6723.637256944444
231,18/11/2021,14.9,8.0,71,3.0,62,26,6782.211979166665
232,19/11/2021,19.0,7.6,89,8.0,45,24,7235.825902777778
233,21/11/2021,15.3,3.6,97,8.0,98,28,6843.91586805556
234,22/11/2021,15.4,2.0,74,7.0,64,24,6902.837222222221
235,23/11/2021,16.3,4.8,88,7.0,78,13,7075.149965277778
236,24/11/2021,17.8,2.2,90,8.0,71,26,7350.6047569444445
237,25/11/2021,19.8,5.0,98,8.0,90,11,7615.075520833335
238,26/11/2021,16.5,8.8,98,8.0,86,33,7476.738020833336
239,27/11/2021,15.2,2.6,95,8.0,68,33,6812.040659722224
240,28/11/2021,15.1,4.6,75,5.0,56,26,6481.396284722221
241,29/11/2021,14.0,4.0,67,7.0,60,13,6906.624930555557
242,30/11/2021,18.1,5.8,80,8.0,86,11,7449.267187499999
243,1/12/2021,19.3,2.0,80,7.0,61,20,7385.546180555558
244,2/12/2021,18.3,6.4,79,3.0,63,26,7408.946736111113
245,3/12/2021,18.5,8.8,75,0.0,73,31,7320.466666666666
246,4/12/2021,17.9,5.6,86,8.0,61,31,6694.1977430555535
247,5/12/2021,16.8,8.0,86,8.0,62,24,6542.7474305555525
248,6/12/2021,16.7,5.0,65,8.0,60,17,7155.756319444444
249,7/12/2021,17.5,3.0,72,7.0,68,20,7237.350625000002
250,12/12/2021,15.1,7.4,71,6.0,58,28,6214.357465277776
251,13/12/2021,16.2,7.8,57,3.0,56,19,6828.618784722223
