date,avg_demand,state
2021/02/01,7839.838333333332,NSW1
2021/02/02,7393.213749999999,NSW1
2021/02/03,7237.238750000001,NSW1
2021/02/04,7831.148541666666,NSW1
2021/02/05,8198.975833333332,NSW1
2021/02/06,7417.680208333338,NSW1
2021/02/07,6954.139583333333,NSW1
2021/02/08,7496.513750000001,NSW1
2021/02/09,7407.967291666668,NSW1
2021/02/10,7360.278333333332,NSW1
2021/02/11,7565.787916666667,NSW1
2021/02/12,8061.384791666666,NSW1
2021/02/13,7241.781041666665,NSW1
2021/02/14,6457.113541666667,NSW1
2021/02/15,7124.523125000002,NSW1
2021/02/16,7380.897291666667,NSW1
2021/02/17,7350.403124999998,NSW1
2021/02/18,7428.805208333335,NSW1
2021/02/19,7831.220833333333,NSW1
2021/02/20,7494.003541666668,NSW1
2021/02/21,7510.852916666668,NSW1
2021/02/22,8117.609999999998,NSW1
2021/02/23,7537.720416666667,NSW1
2021/02/24,7456.550416666668,NSW1
2021/02/25,7666.077499999999,NSW1
2021/02/26,7497.079583333332,NSW1
2021/02/27,7182.225208333336,NSW1
2021/02/28,7099.947499999999,NSW1
2021/03/01,8533.461666666668,NSW1
2021/03/02,7487.192708333333,NSW1
2021/03/03,7286.490208333332,NSW1
2021/03/04,7274.426666666667,NSW1
2021/03/05,7167.193958333333,NSW1
2021/03/06,6610.969583333334,NSW1
2021/03/07,6540.380208333335,NSW1
2021/03/08,7707.994999999999,NSW1
2021/03/09,7651.438125000001,NSW1
2021/03/10,7611.397083333333,NSW1
2021/03/11,7843.896875000003,NSW1
2021/03/12,7846.689375000002,NSW1
2021/03/13,7625.361249999999,NSW1
2021/03/14,7074.620416666668,NSW1
2021/03/15,6940.243333333335,NSW1
2021/03/16,7332.263541666667,NSW1
2021/03/17,7430.172916666667,NSW1
2021/03/18,7703.078750000001,NSW1
2021/03/19,7473.735208333332,NSW1
2021/03/20,7212.509791666665,NSW1
2021/03/21,7126.95,NSW1
2021/03/22,7730.009166666668,NSW1
2021/03/23,7830.55875,NSW1
2021/03/24,7195.208124999997,NSW1
2021/03/25,7232.385833333331,NSW1
2021/03/26,7015.648750000003,NSW1
2021/03/27,6602.299583333334,NSW1
2021/03/28,6428.7181249999985,NSW1
2021/03/29,7174.510416666668,NSW1
2021/03/30,7122.368958333335,NSW1
2021/03/31,7113.137291666669,NSW1
2021/04/01,7255.3929166666685,NSW1
2021/04/02,6490.208333333333,NSW1
2021/04/03,6566.398125,NSW1
2021/04/04,6528.740624999999,NSW1
2021/04/05,6801.11625,NSW1
2021/04/06,7567.621875000002,NSW1
2021/04/07,7579.323958333334,NSW1
2021/04/08,7495.619999999999,NSW1
2021/04/09,7336.792083333335,NSW1
2021/04/10,6608.749166666666,NSW1
2021/04/11,6367.694791666669,NSW1
2021/04/12,7172.522083333333,NSW1
2021/04/13,7244.021041666668,NSW1
2021/04/14,7183.238958333335,NSW1
2021/04/15,7171.652083333332,NSW1
2021/04/16,7303.76875,NSW1
2021/04/17,7236.445833333332,NSW1
2021/04/18,6694.444583333333,NSW1
2021/04/19,7269.463749999999,NSW1
2021/04/20,7364.601874999999,NSW1
2021/04/21,7404.424791666665,NSW1
2021/04/22,7595.551041666663,NSW1
2021/04/23,7537.906666666666,NSW1
2021/04/24,7000.101250000003,NSW1
2021/04/25,6765.533958333336,NSW1
2021/04/26,7381.283750000002,NSW1
2021/04/27,7523.944166666669,NSW1
2021/04/28,7507.583124999998,NSW1
2021/04/29,7530.759791666667,NSW1
2021/04/30,7534.488958333332,NSW1
2021/05/01,6985.442083333334,NSW1
2021/05/02,6861.878333333331,NSW1
2021/05/03,7401.447916666668,NSW1
2021/05/04,8070.974791666668,NSW1
2021/05/05,8018.508541666666,NSW1
2021/05/06,7881.227083333335,NSW1
2021/05/07,7618.825208333333,NSW1
2021/05/08,7001.2735416666665,NSW1
2021/05/09,6990.896458333335,NSW1
2021/05/10,7446.081249999998,NSW1
2021/05/11,7805.091458333335,NSW1
2021/05/12,7726.873541666669,NSW1
2021/05/13,7619.355833333335,NSW1
2021/05/14,7569.600208333334,NSW1
2021/05/15,7641.002916666665,NSW1
2021/05/16,7600.074791666666,NSW1
2021/05/17,8242.269375,NSW1
2021/05/18,8405.777916666668,NSW1
2021/05/19,8419.033958333335,NSW1
2021/05/20,8316.318750000002,NSW1
2021/05/21,8676.293749999999,NSW1
2021/05/22,7739.874583333333,NSW1
2021/05/23,7560.455624999999,NSW1
2021/05/24,8168.434583333331,NSW1
2021/05/25,7927.058958333332,NSW1
2021/05/26,7834.943541666665,NSW1
2021/05/27,8273.886458333334,NSW1
2021/05/28,8477.937083333334,NSW1
2021/05/29,8404.982708333337,NSW1
2021/05/30,8090.639791666668,NSW1
2021/05/31,8488.177083333334,NSW1
2021/06/01,8728.148333333333,NSW1
2021/06/02,8429.988333333336,NSW1
2021/06/03,9283.459374999997,NSW1
2021/06/04,8580.912291666666,NSW1
2021/06/05,8162.490625000001,NSW1
2021/06/06,8046.699166666666,NSW1
2021/06/07,8733.702500000001,NSW1
2021/06/08,9130.73625,NSW1
2021/06/09,9324.198750000003,NSW1
2021/06/10,10416.763333333334,NSW1
2021/06/11,9647.869583333333,NSW1
2021/06/12,8562.370833333332,NSW1
2021/06/13,8114.276041666668,NSW1
2021/06/14,8256.042083333336,NSW1
2021/06/15,8974.361041666667,NSW1
2021/06/16,8897.262708333334,NSW1
2021/06/17,8818.311458333332,NSW1
2021/06/18,8894.112916666669,NSW1
2021/06/19,8739.004166666668,NSW1
2021/06/20,8523.277708333333,NSW1
