date,avg_demand,state
2021/02/01,4672.764375000001,VIC1
2021/02/02,4421.937083333333,VIC1
2021/02/03,4422.983541666666,VIC1
2021/02/04,4956.165000000002,VIC1
2021/02/05,5018.571875,VIC1
2021/02/06,3985.9608333333326,VIC1
2021/02/07,3827.575208333334,VIC1
2021/02/08,4342.011041666667,VIC1
2021/02/09,4460.038333333334,VIC1
2021/02/10,5198.151666666668,VIC1
2021/02/11,5621.671041666666,VIC1
2021/02/12,4752.275000000001,VIC1
2021/02/13,4048.62875,VIC1
2021/02/14,3876.2691666666674,VIC1
2021/02/15,4462.179791666668,VIC1
2021/02/16,5106.738333333334,VIC1
2021/02/17,5389.209999999998,VIC1
2021/02/18,5539.094583333333,VIC1
2021/02/19,5734.008749999998,VIC1
2021/02/20,5051.690416666666,VIC1
2021/02/21,4410.144791666665,VIC1
2021/02/22,4399.628125,VIC1
2021/02/23,4373.738541666668,VIC1
2021/02/24,4524.771458333334,VIC1
2021/02/25,4475.797708333333,VIC1
2021/02/26,4490.582916666665,VIC1
2021/02/27,4310.460833333334,VIC1
2021/02/28,4061.615208333333,VIC1
2021/03/01,4485.196875000001,VIC1
2021/03/02,4631.303333333334,VIC1
2021/03/03,4698.976458333332,VIC1
2021/03/04,4692.8256249999995,VIC1
2021/03/05,4540.915416666666,VIC1
2021/03/06,3921.0358333333347,VIC1
2021/03/07,4129.282500000002,VIC1
2021/03/08,4472.384375000001,VIC1
2021/03/09,4657.092291666668,VIC1
2021/03/10,4634.328333333334,VIC1
2021/03/11,4893.706666666666,VIC1
2021/03/12,5009.6637500000015,VIC1
2021/03/13,4447.935208333335,VIC1
2021/03/14,3901.90375,VIC1
2021/03/15,4725.491250000002,VIC1
2021/03/16,4675.773958333333,VIC1
2021/03/17,4758.3360416666665,VIC1
2021/03/18,4841.806458333334,VIC1
2021/03/19,4710.929583333333,VIC1
2021/03/20,4157.6518750000005,VIC1
2021/03/21,4270.0512499999995,VIC1
2021/03/22,4766.398958333332,VIC1
2021/03/23,4938.427708333333,VIC1
2021/03/24,4786.264375,VIC1
2021/03/25,4628.0841666666665,VIC1
2021/03/26,4610.141874999999,VIC1
2021/03/27,4149.286041666665,VIC1
2021/03/28,4097.158541666667,VIC1
2021/03/29,4638.798125000002,VIC1
2021/03/30,4674.132916666667,VIC1
2021/03/31,4737.455625,VIC1
2021/04/01,4792.790208333335,VIC1
2021/04/02,4219.733333333333,VIC1
2021/04/03,4253.338125,VIC1
2021/04/04,4055.0793750000007,VIC1
2021/04/05,3984.830208333333,VIC1
2021/04/06,4475.690208333333,VIC1
2021/04/07,4731.804375000001,VIC1
2021/04/08,4786.667083333333,VIC1
2021/04/09,4542.9158333333335,VIC1
2021/04/10,4229.779375000001,VIC1
2021/04/11,4391.986458333333,VIC1
2021/04/12,5115.952708333334,VIC1
2021/04/13,4929.874583333333,VIC1
2021/04/14,4588.322291666666,VIC1
2021/04/15,4754.896250000001,VIC1
2021/04/16,5058.855416666666,VIC1
2021/04/17,4434.667291666668,VIC1
2021/04/18,4339.892916666666,VIC1
2021/04/19,4771.187708333334,VIC1
2021/04/20,5104.9904166666665,VIC1
2021/04/21,5143.661458333334,VIC1
2021/04/22,5150.687708333331,VIC1
2021/04/23,5017.682708333333,VIC1
2021/04/24,4584.556041666668,VIC1
2021/04/25,4486.034791666666,VIC1
2021/04/26,5098.565,VIC1
2021/04/27,5220.158125000001,VIC1
2021/04/28,5135.717291666667,VIC1
2021/04/29,5133.075625,VIC1
2021/04/30,4891.132083333335,VIC1
2021/05/01,4192.782499999999,VIC1
2021/05/02,4061.982708333333,VIC1
2021/05/03,4941.462916666667,VIC1
2021/05/04,5254.66125,VIC1
2021/05/05,5047.281875,VIC1
2021/05/06,5112.022500000001,VIC1
2021/05/07,5012.971458333334,VIC1
2021/05/08,4396.825208333333,VIC1
2021/05/09,4129.788333333335,VIC1
2021/05/10,4970.349374999999,VIC1
2021/05/11,5174.496458333331,VIC1
2021/05/12,4998.577291666665,VIC1
2021/05/13,5262.32125,VIC1
2021/05/14,5182.773333333335,VIC1
2021/05/15,4804.840208333332,VIC1
2021/05/16,4750.6743750000005,VIC1
2021/05/17,5321.396041666666,VIC1
2021/05/18,5536.832708333332,VIC1
2021/05/19,5071.961249999999,VIC1
2021/05/20,5478.997083333335,VIC1
2021/05/21,5382.471041666667,VIC1
2021/05/22,4841.111458333334,VIC1
2021/05/23,4567.68625,VIC1
2021/05/24,5052.376249999999,VIC1
2021/05/25,4976.928958333336,VIC1
2021/05/26,5240.862916666666,VIC1
2021/05/27,5310.628124999999,VIC1
2021/05/28,5382.596874999998,VIC1
2021/05/29,4903.450625,VIC1
2021/05/30,4921.220624999999,VIC1
2021/05/31,5461.487708333334,VIC1
2021/06/01,5578.746875000001,VIC1
2021/06/02,5208.89375,VIC1
2021/06/03,5173.505000000001,VIC1
2021/06/04,5337.457083333333,VIC1
2021/06/05,5102.352083333333,VIC1
2021/06/06,4743.685624999999,VIC1
2021/06/07,5121.014583333334,VIC1
2021/06/08,5680.135833333333,VIC1
2021/06/09,5771.567291666666,VIC1
2021/06/10,5283.358125000001,VIC1
2021/06/11,5440.956458333332,VIC1
2021/06/12,4826.986875000001,VIC1
2021/06/13,4795.815624999998,VIC1
2021/06/14,4876.1120833333325,VIC1
2021/06/15,5479.885416666665,VIC1
2021/06/16,5511.7387499999995,VIC1
2021/06/17,5877.5441666666675,VIC1
2021/06/18,5776.757083333334,VIC1
2021/06/19,4899.166875000002,VIC1
2021/06/20,4994.098958333334,VIC1
