,Date,Minimum temperature (C),Rainfall (mm),Speed of maximum wind gust (km/h),9am cloud amount (oktas),3pm MSL pressure (hPa),avg_demand
0,1/02/2021,0.854922279792746,0.006129597197898424,0.41666666666666663,0.625,0.41637010676156194,6654.541250000001
1,2/02/2021,0.7979274611398963,0.08669001751313485,0.18749999999999997,1.0,0.320284697508896,6779.174583333333
2,4/02/2021,0.7098445595854921,0.0008756567425569177,0.27083333333333337,0.25,0.4092526690391409,6617.779583333333
3,5/02/2021,0.77720207253886,0.0008756567425569177,0.27083333333333337,0.625,0.370106761565836,6686.862083333333
4,7/02/2021,0.8808290155440415,0.0,0.18749999999999997,0.875,0.09608540925266595,6939.544999999999
5,9/02/2021,0.8186528497409327,0.0,0.5416666666666666,0.375,0.4270462633451899,6690.258749999997
6,11/02/2021,0.7202072538860103,0.0,0.22916666666666666,0.375,0.4768683274021299,6531.450416666666
7,13/02/2021,0.8134715025906736,0.0,0.35416666666666663,0.75,0.284697508896798,6395.279583333334
8,15/02/2021,0.7616580310880827,0.0008756567425569177,0.45833333333333337,0.25,0.444839857651246,6635.55
9,16/02/2021,0.7616580310880827,0.0,0.41666666666666663,0.75,0.48398576512455094,6466.142916666668
10,17/02/2021,0.6994818652849741,0.023642732049036778,0.7708333333333334,0.875,0.565836298932382,6337.939583333333
11,18/02/2021,0.7202072538860103,0.07267950963222418,0.45833333333333337,0.875,0.5693950177935889,6517.596874999999
12,19/02/2021,0.766839378238342,0.053415061295971976,0.18749999999999997,0.875,0.46619217081850195,6691.274375
13,20/02/2021,0.8393782383419688,0.0017513134851138354,0.16666666666666666,0.875,0.3345195729537309,6307.049375000002
14,21/02/2021,0.8445595854922279,0.005253940455341506,0.35416666666666663,0.25,0.07829181494661697,6500.957708333332
15,22/02/2021,0.8341968911917099,0.0,0.5416666666666666,0.125,0.160142348754448,7260.547083333334
16,23/02/2021,0.8963730569948187,0.03590192644483362,0.45833333333333337,0.5,0.28825622775800497,7231.086666666669
17,24/02/2021,0.7720207253886009,0.046409807355516634,0.3125,0.875,0.47330960854092297,6824.3397916666645
18,25/02/2021,0.8393782383419688,0.07355516637478109,0.22916666666666666,0.875,0.41637010676156194,6898.839999999999
19,26/02/2021,0.854922279792746,0.0008756567425569177,0.18749999999999997,0.125,0.34875444839857295,7081.1277083333325
20,27/02/2021,0.8911917098445594,0.0,0.16666666666666666,0.875,0.41637010676156194,6727.071249999998
21,28/02/2021,0.9378238341968912,0.017513134851138354,0.18749999999999997,0.875,0.3843416370106709,6770.522291666665
22,1/03/2021,0.9378238341968912,0.0,0.0,1.0,0.34875444839857295,7134.006458333333
23,2/03/2021,0.8341968911917099,0.0,0.45833333333333337,0.375,0.2669039145907419,7060.223958333332
24,5/03/2021,0.6217616580310881,0.0,0.16666666666666666,0.125,0.17081850533807597,6352.982291666666
25,6/03/2021,0.7720207253886009,0.0,0.3125,0.875,0.3629893238434079,6126.532916666664
26,7/03/2021,0.7823834196891193,0.0,0.3125,0.75,0.5017793594305999,6132.168124999997
27,8/03/2021,0.8186528497409327,0.0,0.39583333333333337,0.5,0.5053380782918069,6723.164583333332
28,9/03/2021,0.7927461139896372,0.11208406304728546,0.22916666666666666,0.875,0.4875444839857579,6772.5475000000015
29,10/03/2021,0.766839378238342,0.0,0.41666666666666663,0.375,0.604982206405694,6805.477083333334
30,12/03/2021,0.7564766839378239,0.0035026269702276708,0.27083333333333337,0.375,0.658362989323841,6639.910624999998
31,15/03/2021,0.854922279792746,0.028896672504378284,0.16666666666666666,0.875,0.608540925266901,6790.267708333334
32,16/03/2021,0.6787564766839378,0.0542907180385289,0.39583333333333337,1.0,0.7188612099644089,6469.179999999999
33,17/03/2021,0.6683937823834195,0.050788091068301226,0.16666666666666666,1.0,0.6441281138789989,6387.35625
34,18/03/2021,0.6943005181347148,0.06742556917688267,0.22916666666666666,0.875,0.555160142348754,6274.576666666667
35,19/03/2021,0.7616580310880827,0.0,0.16666666666666666,0.75,0.555160142348754,6413.967083333332
36,21/03/2021,0.8290155440414506,0.0043782837127845885,0.3125,0.875,0.608540925266901,6252.814791666667
37,22/03/2021,0.7823834196891193,0.5472854640980735,0.18749999999999997,1.0,0.5765124555160099,6712.645833333336
38,23/03/2021,0.7979274611398963,0.23029772329246936,0.35416666666666663,0.875,0.23843416370106496,6798.612291666665
39,24/03/2021,0.7979274611398963,0.09369527145359019,0.5416666666666666,0.75,0.11032028469750799,6710.970208333332
40,25/03/2021,0.5544041450777201,0.0,0.5,0.125,0.21708185053380902,6277.005833333335
41,26/03/2021,0.6787564766839378,0.0,0.22916666666666666,0.0,0.42348754448398296,6228.474791666665
42,27/03/2021,0.7461139896373055,0.0,0.18749999999999997,0.125,0.46619217081850195,6013.317291666667
43,28/03/2021,0.6683937823834195,0.0,0.18749999999999997,0.125,0.519572953736656,5785.106458333333
44,29/03/2021,0.7150259067357512,0.0,0.27083333333333337,0.25,0.572953736654803,6368.557916666665
45,30/03/2021,0.7202072538860103,0.0,0.45833333333333337,0.75,0.6868327402135179,6295.944583333333
46,1/04/2021,0.6217616580310881,0.0,0.41666666666666663,0.75,0.7188612099644089,6035.253124999998
47,2/04/2021,0.6165803108808289,0.012259194395796848,0.625,0.25,0.7971530249110259,5499.421458333334
48,4/04/2021,0.7046632124352332,0.03677758318739054,0.18749999999999997,1.0,0.633451957295371,5945.106458333333
49,5/04/2021,0.7305699481865284,0.041155866900175135,0.39583333333333337,1.0,0.523131672597863,6076.717916666668
